source_dataset,time,geo,iso_alpha,size_emp,nace_r2,indic_is,unit,value,status
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_ADOWN,PC_ENT,1.93,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_ADOWN,PC_ENT_AI_TANY,21.55,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_ADOWN,PC_ENT_IUSE,1.95,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AEXT,PC_ENT,2.91,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AEXT,PC_ENT_AI_TANY,32.51,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AEXT,PC_ENT_IUSE,2.94,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AMOWN,PC_ENT,3.53,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AMOWN,PC_ENT_AI_TANY,39.44,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AMOWN,PC_ENT_IUSE,3.57,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AOS,PC_ENT,3.32,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AOS,PC_ENT_AI_TANY,37.11,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_AOS,PC_ENT_IUSE,3.35,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_ARDY,PC_ENT,4.94,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_ARDY,PC_ENT_AI_TANY,55.23,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_ARDY,PC_ENT_IUSE,4.99,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCDP,PC_ENT,3.75,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,41.82,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_TX,4.17,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCDP,PC_ENT_IUSE,3.79,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCST,PC_ENT,2.97,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_EC,33.21,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCST,PC_ENT_AI_TX,3.31,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BCST,PC_ENT_IUSE,3.01,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BDDT,PC_ENT,3.74,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_EC,41.8,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BDDT,PC_ENT_AI_TX,4.17,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BDDT,PC_ENT_IUSE,3.78,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BEC,PC_ENT,2.09,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_EC,23.3,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BEC,PC_ENT_AI_TX,2.33,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BEC,PC_ENT_IUSE,2.11,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BINC,PC_ENT,3.85,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BINC,PC_ENT_AI_EC,43.01,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BINC,PC_ENT_AI_TX,4.29,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BINC,PC_ENT_IUSE,3.89,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLE,PC_ENT,5.55,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLE,PC_ENT_AI_EC,62.0,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLE,PC_ENT_AI_TX,6.19,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLE,PC_ENT_IUSE,5.61,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLEG,PC_ENT,4.21,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLEG,PC_ENT_AI_EC,46.98,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLEG,PC_ENT_AI_TX,4.69,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BLEG,PC_ENT_IUSE,4.25,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BNU,PC_ENT,2.46,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BNU,PC_ENT_AI_EC,27.5,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BNU,PC_ENT_AI_TX,2.74,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_BNU,PC_ENT_IUSE,2.49,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_CC,PC_ENT,6.61,
isoc_eb_ai,2023,AT,AUT,10-49,C10-S951_X_K,E_AI_CC,PC_ENT_IUSE,6.68,
